,Country,Sex,Age,Marital status
0,Mayotte,Men,55,Married
1,Belgium,Women,72,Married
2,Yemen,Women,66,Single
3,Liberia,Women,53,Married
4,Chile,Women,93,Single
5,New Zealand,Men,23,Single
6,Uruguay,Women,34,Single
7,Belgium,Men,67,Married
8,Poland,Men,45,Single
9,Bermuda,Women,52,Married
10,Argentina,Women,59,Single
11,Jamaica,Men,97,Single
12,Morocco,Women,22,Single
13,Brunei Darussalam,Women,32,Married
14,El Salvador,Women,87,Single
15,Libya,Women,46,Married
16,Peru,Men,21,Single
17,Poland,Men,31,Single
18,Netherlands Antilles,Men,22,Single
19,Cyprus,Women,98,Married
20,Denmark,Women,45,Married
21,Czech Republic,Women,73,Single
22,Kuwait,Men,62,Married
23,Israel,Men,36,Married
24,Yemen,Men,50,Married
25,New Caledonia,Men,30,Married
26,Norway,Men,81,Married
27,Trinidad and Tobago,Women,17,Single
28,Saint Lucia,Women,65,Single
29,Norway,Women,59,Married
30,Democratic People's Republic of  of Korea,Women,34,Married
31,Israel,Men,87,Married
32,French Polynesia,Men,25,Single
33,Belgium,Men,45,Divorced
34,Mayotte,Women,50,Single
35,Switzerland,Men,21,Single
36,Turks and Caicos Islands,Women,21,Married
37,Netherlands,Women,88,Married
38,Czech Republic,Women,18,Single
39,Costa Rica,Women,71,Single
40,Saint Vincent and the Grenadines,Men,69,Married
41,Germany,Women,32,Divorced
42,Israel,Women,92,Single
43,Morocco,Men,41,Married
44,Slovenia,Men,47,Married
45,Malta,Women,26,Single
46,Australia,Men,54,Single
47,Swaziland,Men,79,Married
48,Croatia,Women,51,Married
49,Yemen,Men,47,Married
50,Bahrain,Women,63,Single
51,Aruba,Men,62,Single
52,Romania,Men,98,Married
53,Poland,Men,78,Married
54,Algeria,Men,59,Married
55,Czech Republic,Men,41,Single
56,Algeria,Women,50,Single
57,United Arab Emirates,Men,46,Married
58,Uruguay,Men,20,Single
59,Croatia,Women,87,Married
60,Aruba,Women,65,Single
61,Russian Federation,Women,17,Single
62,Finland,Men,28,Married
63,Lithuania,Men,21,Single
64,Gibraltar,Women,89,Single
65,Tajikistan,Men,24,Single
66,Estonia,Women,18,Single
67,Gibraltar,Men,37,Married
68,Jamaica,Men,66,Divorced
69,Indonesia,Men,83,Married
70,Malaysia,Men,74,Married
71,Tajikistan,Men,27,Married
72,Botswana,Men,90,Married
73,San Marino,Women,66,Single
74,Botswana,Women,18,Single
75,Djibouti,Men,63,Married
76,Lao People's Democratic Republic,Women,71,Married
77,Philippines,Men,20,Single
78,Cayman Islands,Men,69,Single
79,Réunion,Men,93,Married
80,Peru,Men,28,Single
81,New Caledonia,Men,20,Single
82,Cuba,Men,59,Single
83,Liberia,Women,74,Single
84,Syrian Arab Republic,Women,29,Married
85,Malta,Men,53,Married
86,Malaysia,Men,47,Married
87,Singapore,Women,59,Divorced
88,Brazil,Women,91,Single
89,Liechtenstein,Men,96,Married
90,Liberia,Men,31,Single
91,Mayotte,Women,46,Married
92,Palau,Men,32,Married
93,Gibraltar,Men,44,Married
94,Mexico,Women,66,Married
95,Kyrgyzstan,Women,70,Single
96,El Salvador,Women,50,Single
97,Bulgaria,Men,67,Married
98,Oman,Men,64,Married
99,Saint Vincent and the Grenadines,Women,36,Married
100,Saint Lucia,Men,62,Married
101,Liechtenstein,Men,48,Married
102,Republic of Korea,Women,87,Married
103,New Zealand,Men,38,Single
104,Slovakia,Men,67,Married
105,Venezuela (Bolivarian Republic of),Women,98,Single
106,Mongolia,Women,15,Single
107,Slovenia,Men,15,Single
108,Belarus,Men,28,Single
109,Algeria,Women,37,Married
110,Lithuania,Women,93,Married
111,Malaysia,Men,16,Single
112,Antigua and Barbuda,Men,93,Single
113,El Salvador,Women,56,Single
114,Saint Vincent and the Grenadines,Men,94,Single
115,Anguilla,Women,41,Married
116,Bermuda,Women,94,Married
117,Greenland,Men,91,Married
